Gene,Trait,Group,Z_eQTLGen,Z_GTEx,Same_Direction
RPS8,DR,44_NonCandidate_HOTAIR,26.5358,2.05,True
CCT3,DR,44_NonCandidate_HOTAIR,-6.3203,-0.6175,True
GRB14,DR,30_T2DM_Control,0.673,0.4047,True
PPARG,DR,30_T2DM_Control,-1.3366,-1.6877,True
RPL14,DR,44_NonCandidate_HOTAIR,7.3506,0.622,True
RPN1,DR,44_NonCandidate_HOTAIR,-7.5917,-0.8341,True
ST6GAL1,DR,30_T2DM_Control,1.2084,-0.4508,False
ANXA5,DR,44_NonCandidate_HOTAIR,-3.2574,-0.7924,True
PAM,DR,30_T2DM_Control,11.532,0.1221,True
CDKAL1,DR,30_T2DM_Control,2.4599,3.1244,True
RPL10A,DR,44_NonCandidate_HOTAIR,-4.1237,-9.5288,True
JAZF1,DR,30_T2DM_Control,-3.5353,-2.1563,True
HSPB1,DR,44_NonCandidate_HOTAIR,6.8638,3.4977,True
PUF60,DR,44_NonCandidate_HOTAIR,-0.3587,1.1947,False
ANXA1,DR,44_NonCandidate_HOTAIR,-1.7293,0.8884,False
CAMK1D,DR,30_T2DM_Control,3.0947,2.4829,True
HHEX,DR,30_T2DM_Control,-6.682,0.6306,False
DUSP8,DR,30_T2DM_Control,-8.6822,-2.9788,True
RPL27A,DR,44_NonCandidate_HOTAIR,-3.1107,0.2513,False
KCNJ11,DR,30_T2DM_Control,0.819,1.0736,True
SERPINH1,DR,44_NonCandidate_HOTAIR,-3.7162,0.5356,False
PNN,DR,44_NonCandidate_HOTAIR,-21.5496,-5.7031,True
EHD4,DR,44_NonCandidate_HOTAIR,-0.7085,3.5432,False
PDIA3,DR,44_NonCandidate_HOTAIR,-3.5215,0.9457,False
MFAP1,DR,44_NonCandidate_HOTAIR,14.3329,0.6662,True
FTO,DR,30_T2DM_Control,2.0337,5.3906,True
RPL13,DR,44_NonCandidate_HOTAIR,12.6192,-1.1222,False
C1QBP,DR,44_NonCandidate_HOTAIR,-0.7841,0.2702,False
VAT1,DR,44_NonCandidate_HOTAIR,-6.8872,-0.4155,True
GNA13,DR,44_NonCandidate_HOTAIR,-10.0601,-1.6684,True
RPL17,DR,44_NonCandidate_HOTAIR,8.3437,-0.3588,False
EEF2,DR,44_NonCandidate_HOTAIR,3.1606,0.58,True
UBA52,DR,44_NonCandidate_HOTAIR,-8.6837,0.1775,False
RRBP1,DR,44_NonCandidate_HOTAIR,-6.9254,0.8175,False
RPS8,DN,44_NonCandidate_HOTAIR,22.7541,1.6484,True
CCT3,DN,44_NonCandidate_HOTAIR,12.7509,1.5906,True
GRB14,DN,30_T2DM_Control,0.8152,0.8851,True
PPARG,DN,30_T2DM_Control,7.8666,0.0745,True
RPL14,DN,44_NonCandidate_HOTAIR,-5.7288,-0.3584,True
RPN1,DN,44_NonCandidate_HOTAIR,-3.3871,0.4534,False
ST6GAL1,DN,30_T2DM_Control,-6.4247,-1.5702,True
ANXA5,DN,44_NonCandidate_HOTAIR,-2.0167,2.9341,False
PAM,DN,30_T2DM_Control,-13.1598,-0.3525,True
CDKAL1,DN,30_T2DM_Control,-0.8506,4.3368,False
RPL10A,DN,44_NonCandidate_HOTAIR,0.3645,-3.9972,False
JAZF1,DN,30_T2DM_Control,-0.2358,-1.2985,True
HSPB1,DN,44_NonCandidate_HOTAIR,6.9983,2.9642,True
PUF60,DN,44_NonCandidate_HOTAIR,-1.2309,0.662,False
ANXA1,DN,44_NonCandidate_HOTAIR,0.5524,1.2082,True
CAMK1D,DN,30_T2DM_Control,-4.3204,1.7732,False
HHEX,DN,30_T2DM_Control,-7.8096,0.3608,False
DUSP8,DN,30_T2DM_Control,-11.2647,-2.2569,True
RPL27A,DN,44_NonCandidate_HOTAIR,2.6122,0.4584,True
KCNJ11,DN,30_T2DM_Control,-0.1962,0.1847,False
SERPINH1,DN,44_NonCandidate_HOTAIR,4.3592,-1.4375,False
PNN,DN,44_NonCandidate_HOTAIR,-23.6811,2.4445,False
EHD4,DN,44_NonCandidate_HOTAIR,1.4779,0.453,True
PDIA3,DN,44_NonCandidate_HOTAIR,2.8478,0.7827,True
MFAP1,DN,44_NonCandidate_HOTAIR,14.261,0.6394,True
FTO,DN,30_T2DM_Control,11.6604,11.3679,True
RPL13,DN,44_NonCandidate_HOTAIR,0.2723,0.0211,True
C1QBP,DN,44_NonCandidate_HOTAIR,3.2641,-0.8598,False
VAT1,DN,44_NonCandidate_HOTAIR,-4.1369,-0.2486,True
GNA13,DN,44_NonCandidate_HOTAIR,-6.5213,-1.5506,True
RPL17,DN,44_NonCandidate_HOTAIR,-16.3668,0.8425,False
EEF2,DN,44_NonCandidate_HOTAIR,0.4942,-0.1063,False
UBA52,DN,44_NonCandidate_HOTAIR,2.5541,0.3831,True
RRBP1,DN,44_NonCandidate_HOTAIR,-7.3648,1.0205,False
RPS8,DPN,44_NonCandidate_HOTAIR,6.3228,0.662,True
CCT3,DPN,44_NonCandidate_HOTAIR,10.6936,1.3068,True
GRB14,DPN,30_T2DM_Control,-0.6713,-0.7772,True
PPARG,DPN,30_T2DM_Control,3.5267,-2.0031,False
RPL14,DPN,44_NonCandidate_HOTAIR,-4.2668,-1.0602,True
RPN1,DPN,44_NonCandidate_HOTAIR,-7.2651,0.8374,False
ST6GAL1,DPN,30_T2DM_Control,4.3389,-1.3547,False
ANXA5,DPN,44_NonCandidate_HOTAIR,-3.3682,-4.109,True
PAM,DPN,30_T2DM_Control,-22.8895,-0.8514,True
CDKAL1,DPN,30_T2DM_Control,-3.2592,0.4506,False
RPL10A,DPN,44_NonCandidate_HOTAIR,-7.3886,-4.678,True
JAZF1,DPN,30_T2DM_Control,1.1019,-0.7609,False
HSPB1,DPN,44_NonCandidate_HOTAIR,5.3341,1.6632,True
PUF60,DPN,44_NonCandidate_HOTAIR,0.6117,1.0265,True
ANXA1,DPN,44_NonCandidate_HOTAIR,1.8416,4.494,True
CAMK1D,DPN,30_T2DM_Control,3.5025,-1.4055,False
HHEX,DPN,30_T2DM_Control,-10.6626,0.8826,False
DUSP8,DPN,30_T2DM_Control,-1.2759,-1.3835,True
RPL27A,DPN,44_NonCandidate_HOTAIR,3.6551,-0.5007,False
KCNJ11,DPN,30_T2DM_Control,-6.0571,0.4733,False
SERPINH1,DPN,44_NonCandidate_HOTAIR,0.5738,-0.8994,False
PNN,DPN,44_NonCandidate_HOTAIR,-34.8579,-3.2163,True
EHD4,DPN,44_NonCandidate_HOTAIR,2.7273,-2.6144,False
PDIA3,DPN,44_NonCandidate_HOTAIR,-3.6156,0.6073,False
MFAP1,DPN,44_NonCandidate_HOTAIR,-2.5355,-0.2318,True
FTO,DPN,30_T2DM_Control,9.4061,-1.1893,False
RPL13,DPN,44_NonCandidate_HOTAIR,0.4612,0.147,True
C1QBP,DPN,44_NonCandidate_HOTAIR,1.5695,-1.1547,False
VAT1,DPN,44_NonCandidate_HOTAIR,-24.4594,-1.1672,True
GNA13,DPN,44_NonCandidate_HOTAIR,0.9145,0.9492,True
RPL17,DPN,44_NonCandidate_HOTAIR,-3.0482,-0.1552,True
EEF2,DPN,44_NonCandidate_HOTAIR,3.7826,1.8144,True
UBA52,DPN,44_NonCandidate_HOTAIR,-3.0292,-2.3677,True
RRBP1,DPN,44_NonCandidate_HOTAIR,-2.1606,-0.2471,True
